tool,preset,effect_pattern,effect_sigma_mult,noise_model,attacker_threshold_ns,dataset_id,samples_per_class,detected,statistic,p_value,time_ms,samples_used,status,outcome
timing-tvla,medium,shift,0,ar1-n0.3,,4,5000,false,,,0,10000,"|t|=0.85, threshold=4.5",pass
ad-test,medium,shift,0,ar1-n0.6,,1,5000,false,0.683315,,0,10000,"A²=0.9152, p=0.3167, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.6,,4,5000,false,,,0,10000,no non-overlapping box found,pass
mona,medium,shift,0,ar1-n0.6,,1,5000,false,,,0,10000,no non-overlapping box found,pass
ks-test,medium,shift,0,ar1-n0.3,,7,5000,false,0.192677,,1,10000,"D=0.0128, p=0.8073, alpha=0.05",pass
ks-test,medium,shift,0,ar1-n0.3,,4,5000,false,0.672515,,1,10000,"D=0.0190, p=0.3275, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.3,,7,5000,false,0.578404,,0,10000,"A²=0.3914, p=0.4216, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.3,,4,5000,false,0.652651,,0,10000,"A²=0.7621, p=0.3473, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.3,,7,5000,false,,,0,10000,no non-overlapping box found,pass
mona,medium,shift,0,ar1-n0.3,,4,5000,false,,,0,10000,no non-overlapping box found,pass
dudect,medium,shift,0,ar1-n0.3,,1,5000,false,,,4,7659,"max|t|=2.35, tau=0.0268, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.3,,1,5000,false,,,0,10000,"|t|=0.67, threshold=4.5",pass
dudect,medium,shift,0,ar1-n0.6,,6,5000,false,,,4,1289,"max|t|=2.47, tau=-0.0688, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.6,,6,5000,false,,,0,10000,"|t|=0.87, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.3,,1,5000,false,0.941847,,1,10000,"D=0.0266, p=0.0582, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.3,,1,5000,false,0.860779,,0,10000,"A²=1.6858, p=0.1392, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.3,,1,5000,false,,,0,10000,no non-overlapping box found,pass
ks-test,medium,shift,0,ar1-n0.6,,6,5000,false,0.177752,,1,10000,"D=0.0126, p=0.8222, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.6,,6,5000,false,0.618545,,0,10000,"A²=0.5918, p=0.3815, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.6,,6,5000,false,,,0,10000,no non-overlapping box found,pass
ks-test,medium,shift,0,ar1-n0.6,,12,5000,false,0.503809,,11,10000,"D=0.0166, p=0.4962, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.6,,12,5000,false,0.608784,,0,10000,"A²=0.5431, p=0.3912, alpha=0.05",pass
